Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,team,date
Jamal Mashburn,37:00:00,9,22,0.409,1,1,1,9,9,1,0,3,3,5,3,0,1,3,28,27,CHH,20010421
Baron Davis,35:00:00,8,10,0.8,2,3,0.667,5,6,0.833,1,4,5,8,4,0,6,4,23,25,CHH,20010421
P.J. Brown,34:00:00,1,4,0.25,0,0,0,0,0,0,1,6,7,1,3,1,2,4,2,14,CHH,20010421
David Wesley,30:00:00,7,11,0.636,3,4,0.75,0,0,0,1,3,4,1,3,0,2,1,17,20,CHH,20010421
Elden Campbell,24:00:00,2,5,0.4,0,0,0,4,4,1,2,3,5,2,0,1,2,4,8,20,CHH,20010421
Hersey Hawkins,19:00,1,3,0.333,1,3,0.333,2,4,0.5,1,2,3,0,0,0,0,2,5,2,CHH,20010421
Eddie Robinson,18:00,7,9,0.778,0,0,0,0,0,0,3,3,6,1,1,0,0,1,14,13,CHH,20010421
Derrick Coleman,16:00,0,6,0,0,3,0,2,2,1,0,1,1,1,2,0,1,4,2,4,CHH,20010421
Jamaal Magloire,15:00,1,4,0.25,0,0,0,0,0,0,0,3,3,0,0,2,0,2,2,5,CHH,20010421
Eldridge Recasner,4:00,0,0,0,0,0,0,3,4,0.75,0,1,1,2,0,0,1,0,3,0,CHH,20010421
Scott Burrell,4:00,1,2,0.5,0,1,0,0,0,0,0,1,1,0,1,0,0,0,2,0,CHH,20010421
Otis Thorpe,4:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHH,20010421
Eddie Jones,34:00:00,6,13,0.462,1,5,0.2,1,2,0.5,1,4,5,1,2,1,3,2,14,-21,MIA,20010421
Anthony Mason,34:00:00,1,4,0.25,0,1,0,2,2,1,0,2,2,1,0,0,3,1,4,-31,MIA,20010421
Alonzo Mourning,27:00:00,5,8,0.625,0,0,0,4,6,0.667,0,3,3,0,0,1,3,2,14,-17,MIA,20010421
Bruce Bowen,22:00,3,8,0.375,1,5,0.2,0,0,0,1,0,1,1,2,2,0,5,7,-4,MIA,20010421
Tim Hardaway,17:00,1,6,0.167,1,2,0.5,0,0,0,1,0,1,5,0,0,4,1,3,-2,MIA,20010421
Brian Grant,31:00:00,3,6,0.5,0,0,0,4,6,0.667,2,8,10,1,0,2,2,5,10,-21,MIA,20010421
Anthony Carter,26:00:00,2,3,0.667,0,0,0,0,0,0,0,1,1,4,0,1,5,4,4,-24,MIA,20010421
Eddie House,19:00,6,13,0.462,1,3,0.333,3,3,1,0,3,3,2,1,0,3,2,16,2,MIA,20010421
Dan Majerle,15:00,1,2,0.5,1,2,0.5,0,0,0,0,1,1,1,1,0,0,1,3,-8,MIA,20010421
A.C. Green,6:00,1,1,1,0,0,0,0,0,0,0,2,2,1,0,0,0,2,2,-3,MIA,20010421
Duane Causwell,5:00,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,-1,MIA,20010421
Cedric Ceballos,4:00,1,3,0.333,0,0,0,1,2,0.5,1,0,1,0,0,0,0,0,3,0,MIA,20010421
Jermaine O'Neal,46:00:00,5,11,0.455,0,0,0,2,4,0.5,4,16,20,1,0,3,1,6,12,7,IND,20010421
Reggie Miller,44:00:00,5,21,0.238,3,7,0.429,4,4,1,2,4,6,4,1,1,2,2,17,3,IND,20010421
Travis Best,44:00:00,7,12,0.583,0,1,0,2,2,1,0,1,1,10,2,0,1,0,16,5,IND,20010421
Jalen Rose,43:00:00,8,22,0.364,1,2,0.5,0,0,0,0,6,6,3,1,0,1,4,17,2,IND,20010421
Zan Tabak,3:00,0,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,-4,IND,20010421
Austin Croshere,37:00:00,4,8,0.5,0,1,0,4,4,1,1,2,3,1,0,1,2,3,12,2,IND,20010421
Sam Perkins,12:00,2,7,0.286,1,3,0.333,0,0,0,1,2,3,0,0,0,0,1,5,-5,IND,20010421
Al Harrington,9:00,0,3,0,0,0,0,0,0,0,1,1,2,1,0,0,0,2,0,-5,IND,20010421
Derrick McKey,1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IND,20010421
Jeff Foster,1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IND,20010421
Allen Iverson,42:00:00,7,19,0.368,0,4,0,2,3,0.667,0,5,5,7,2,1,2,5,16,-1,PHI,20010421
Eric Snow,41:00:00,7,17,0.412,0,1,0,0,1,0,1,5,6,5,1,0,3,1,14,2,PHI,20010421
Dikembe Mutombo,40:00:00,3,6,0.5,0,0,0,6,8,0.75,5,17,22,0,0,5,1,2,12,3,PHI,20010421
Tyrone Hill,35:00:00,4,9,0.444,0,0,0,0,0,0,2,6,8,0,1,0,0,3,8,3,PHI,20010421
George Lynch,23:00,3,4,0.75,0,0,0,0,0,0,2,4,6,1,0,0,1,3,6,-9,PHI,20010421
