Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,??,??,Notes
"Sat, Apr 21, 2001",8:30 PM,Charlotte Hornets,106,Miami Heat,80,Box Score,,
"Sat, Apr 21, 2001",12:30 PM,Indiana Pacers,79,Philadelphia 76ers,78,Box Score,,
"Sat, Apr 21, 2001",4:30 PM,Minnesota Timberwolves,82,San Antonio Spurs,87,Box Score,,
"Sat, Apr 21, 2001",1:00 PM,Dallas Mavericks,86,Utah Jazz,88,Box Score,,
"Sun, Apr 22, 2001",2:30 PM,Portland Trail Blazers,93,Los Angeles Lakers,106,Box Score,,
"Sun, Apr 22, 2001",7:30 PM,Orlando Magic,90,Milwaukee Bucks,103,Box Score,,
"Sun, Apr 22, 2001",12:30 PM,Toronto Raptors,85,New York Knicks,92,Box Score,,
"Sun, Apr 22, 2001",12:00 PM,Phoenix Suns,86,Sacramento Kings,83,Box Score,,
"Mon, Apr 23, 2001",7:00 PM,Charlotte Hornets,102,Miami Heat,76,Box Score,,
"Mon, Apr 23, 2001",8:30 PM,Minnesota Timberwolves,69,San Antonio Spurs,86,Box Score,,
"Tue, Apr 24, 2001",8:00 PM,Indiana Pacers,98,Philadelphia 76ers,116,Box Score,,
"Tue, Apr 24, 2001",8:30 PM,Dallas Mavericks,98,Utah Jazz,109,Box Score,,
"Wed, Apr 25, 2001",7:00 PM,Orlando Magic,96,Milwaukee Bucks,103,Box Score,,
"Wed, Apr 25, 2001",7:30 PM,Phoenix Suns,90,Sacramento Kings,116,Box Score,,
"Thu, Apr 26, 2001",7:30 PM,Portland Trail Blazers,88,Los Angeles Lakers,106,Box Score,,
"Thu, Apr 26, 2001",8:00 PM,Toronto Raptors,94,New York Knicks,74,Box Score,,
"Fri, Apr 27, 2001",8:00 PM,Miami Heat,79,Charlotte Hornets,94,Box Score,,
"Sat, Apr 28, 2001",2:00 PM,Utah Jazz,91,Dallas Mavericks,94,Box Score,,
"Sat, Apr 28, 2001",11:40 AM,Philadelphia 76ers,92,Indiana Pacers,87,Box Score,,
"Sat, Apr 28, 2001",4:30 PM,San Antonio Spurs,84,Minnesota Timberwolves,93,Box Score,,
"Sat, Apr 28, 2001",8:30 PM,Milwaukee Bucks,116,Orlando Magic,121,Box Score,OT,
"Sun, Apr 29, 2001",12:00 PM,Sacramento Kings,104,Phoenix Suns,96,Box Score,,
"Sun, Apr 29, 2001",2:30 PM,Los Angeles Lakers,99,Portland Trail Blazers,86,Box Score,,
"Sun, Apr 29, 2001",12:30 PM,New York Knicks,97,Toronto Raptors,89,Box Score,,
"Mon, Apr 30, 2001",7:00 PM,San Antonio Spurs,97,Minnesota Timberwolves,84,Box Score,,
"Tue, May 1, 2001",8:30 PM,Utah Jazz,77,Dallas Mavericks,107,Box Score,,
"Tue, May 1, 2001",7:00 PM,Milwaukee Bucks,112,Orlando Magic,104,Box Score,,
"Wed, May 2, 2001",8:00 PM,Philadelphia 76ers,88,Indiana Pacers,85,Box Score,,
"Wed, May 2, 2001",7:30 PM,Sacramento Kings,89,Phoenix Suns,82,Box Score,,
"Wed, May 2, 2001",8:00 PM,New York Knicks,93,Toronto Raptors,100,Box Score,,
"Thu, May 3, 2001",7:00 PM,Dallas Mavericks,84,Utah Jazz,83,Box Score,,
