Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,??,??,Notes,,,,
"Tue, Oct 31, 2000",7:30 PM,Charlotte Hornets,106,Atlanta Hawks,82,Box Score,,,,,,
"Tue, Oct 31, 2000",7:30 PM,Sacramento Kings,100,Chicago Bulls,81,Box Score,,,,,,
"Tue, Oct 31, 2000",7:00 PM,Milwaukee Bucks,93,Dallas Mavericks,97,Box Score,,,,,,
"Tue, Oct 31, 2000",7:30 PM,Phoenix Suns,94,Golden State Warriors,96,Box Score,,,,,,
"Tue, Oct 31, 2000",7:30 PM,Minnesota Timberwolves,106,Houston Rockets,98,Box Score,,,,,,
"Tue, Oct 31, 2000",7:30 PM,Cleveland Cavaliers,86,New Jersey Nets,82,Box Score,,,,,,
"Tue, Oct 31, 2000",8:00 PM,Philadelphia 76ers,101,New York Knicks,72,Box Score,,,,,,
"Tue, Oct 31, 2000",7:30 PM,Washington Wizards,86,Orlando Magic,97,Box Score,,,,,,
"Tue, Oct 31, 2000",7:30 PM,Los Angeles Lakers,96,Portland Trail Blazers,86,Box Score,,,,,,
"Tue, Oct 31, 2000",7:30 PM,Indiana Pacers,85,San Antonio Spurs,98,Box Score,,,,,,
"Tue, Oct 31, 2000",8:00 PM,Detroit Pistons,104,Toronto Raptors,95,Box Score,,,,,,
"Tue, Oct 31, 2000",7:00 PM,Los Angeles Clippers,94,Utah Jazz,107,Box Score,,,,,,
"Tue, Oct 31, 2000",7:30 PM,Seattle SuperSonics,88,Vancouver Grizzlies,94,Box Score,,,,,,
"Wed, Nov 1, 2000",7:00 PM,Detroit Pistons,83,Boston Celtics,103,Box Score,,,,,,
"Wed, Nov 1, 2000",7:30 PM,Washington Wizards,95,Charlotte Hornets,77,Box Score,,,,,,
"Wed, Nov 1, 2000",7:30 PM,Sacramento Kings,100,Cleveland Cavaliers,102,Box Score,2OT,,,,,
"Wed, Nov 1, 2000",7:30 PM,Utah Jazz,97,Los Angeles Lakers,92,Box Score,,,,,,
"Wed, Nov 1, 2000",8:00 PM,Orlando Magic,79,Miami Heat,105,Box Score,,,,,,
"Wed, Nov 1, 2000",7:00 PM,Toronto Raptors,98,Philadelphia 76ers,104,Box Score,,,,,,
"Wed, Nov 1, 2000",7:00 PM,Denver Nuggets,99,Seattle SuperSonics,112,Box Score,,,,,,
"Thu, Nov 2, 2000",7:00 PM,Indiana Pacers,88,Dallas Mavericks,94,Box Score,,,,,,
"Thu, Nov 2, 2000",7:00 PM,Golden State Warriors,97,Denver Nuggets,101,Box Score,,,,,,
"Thu, Nov 2, 2000",7:30 PM,Milwaukee Bucks,93,Houston Rockets,115,Box Score,,,,,,
"Thu, Nov 2, 2000",7:30 PM,Vancouver Grizzlies,99,Los Angeles Clippers,91,Box Score,,,,,,
"Thu, Nov 2, 2000",7:30 PM,Atlanta Hawks,69,New York Knicks,94,Box Score,,,,,,
"Thu, Nov 2, 2000",7:00 PM,Portland Trail Blazers,82,Phoenix Suns,108,Box Score,,,,,,
"Thu, Nov 2, 2000",7:00 PM,Minnesota Timberwolves,91,San Antonio Spurs,103,Box Score,,,,,,
"Fri, Nov 3, 2000",7:30 PM,Toronto Raptors,91,Boston Celtics,93,Box Score,,,,,,
